village,market.name,market.corrected
nkhome,nhkome,nkhome
nkhome,nhome,nkhome
nkhome,nkho.e,nkhome
nkhome,nkhome,nkhome
nondwa,nondwa,nondwa
nantamila,ntalamila,ntalamila
ntalamil,ntalamila,ntalamila
ntalamila,ntalamila,ntalamila
ntalamila.i,ntalamila,ntalamila
ntalamila8,ntalamila,ntalamila
nyalamila,ntalamila,ntalamila
sintali,ntalamila,ntalamila
talamila,ntalamila,ntalamila
ntalamila,ntamila,ntalamila
ntungwa,ntungwa,ntungwa
gongoni,rudewa.gongoni,rudewa.gongoni
ihanga,rujewa,rujewa
sagamaganga,sagamaganga,sagamaganga
kiswago,salamiti,salamiti
salamiti,salamiti,salamiti
minyagala,sebwesa,sibwesa
madibira,shalisuka,shalisuka
igangwe,shauri.moyo,shaurimoyo
igangwe,shaurimoyo,shaurimoyo
isangawane,shaurimoyo,shaurimoyo
ngalaiwe,shaurimoyo,shaurimoyo
mamba,shinyang,shinyanga
mamba,shinyanga,shinyanga
shinyanga,shinyanga,shinyanga
477,sibwesa,sibwesa
minyagala,sibwesa,sibwesa
miyagala,sibwesa,sibwesa
mnjagala,sibwesa,sibwesa
mnyagala,sibwesa,sibwesa
sibwesa,sibwesa,sibwesa
tanga,tanga,tanga
yanga,tanga,tanga
tupendane,tulindane,tulindane
upanga,upanga,upanga
iputi,uputi,iputi
ikuba,usevya,usevya
usevya,usevya,usevya
utengule.usangu,utengule,utengule.usangu
utengule.usangu,utengule.usangu,utengule.usangu
utenguleusangu,utenguleusangu,utengule.usangu
wanging.ombe,wanging.ombe,wanging.ombe
