village,market.name,village.corrected,
machauru,mchauru,mchauru,
mad,mad,mad,
madibira,madibira,madibira,
madibira,shalisuka,madibira,
mahango,mapogoro,mahango,
mailisita,mailisita,mailisita,
majembe,mkundi,majembe,
majengo,majengo,majengo,
majengo,mtonya,majengo,
majimoto,majimoto,majimoto,
makanda,makanda,makanda,
mamba,mamba,mamba,
mamba,shinyanga,mamba,
manawa,manawa,manawa,
manawa,minawa,manawa,
manawa,misasi,manawa,
manema,manema,manema,
manema,nanyumbu,manema,
maneme,nanyumbu,manema,
maneme,nayumbu,manema,
manemme,nanyumbu,manema,
mapogoro,mapogoro,mapogoro,
mapogoro,mapogoro,mapogoro,
mapogoro,mp,mapogoro,
mapogoro,muungano,mapogoro,
masuguru,masuguru,masuguru,
mavimba,mavimba,mavimba,
mayamaya,mayamaya,mayamaya,
mbaju,mbaju,mbaju,
mbao,221,mbao,
mbao,mbao,mbao,
mbaragane,mbaragane,mbaragane,
mbuga,mbuga,mbuga,
mbuyuni,mbuyuni,mbuyuni,
mbuyuni17,mbuyuni,mbuyuni,
mchauru,mchauru,mchauru,
milola,milola,milola,
minawa,misasi,manawa,
mindola,mindola,mindola,
minepa,minepa,minepa,
minyagala,minyagala,minyagala,
minyagala,sebwesa,minyagala,
minyagala,sibwesa,minyagala,
miomboni,miomboni,miomboni,
miomboni,mofu,miomboni,
misasi,misasi,misasi,
miyagala,sibwesa,minyagala,
miyomboni,miyomboni,miyomboni,
mkonywa,4,mkonywa,
mnadani,lalago,mnadani,
mnavira,mnavira,mnavira,
mnjagala,sibwesa,minyagala,
mnkola,mnko,mnkola,
mnkola,mnkola,mnkola,
mnkola,mnkolah,mnkola,
mnkola,mnunuzi,mnkola,
mnkolah,mnkola,mnkola,
mnyagala,mnyagala,minyagala,
mnyagala,sibwesa,minyagala,
mpandang.ombe,lalago,mpandang.ombe,
mpona,kilyamatundu,mpona,
mpunguzi,mpunguz,mpunguzi,
mpunguzi,mpunguzi,mpunguzi,
msisi,msisi,msisi,
mtandi,mtandi,mtandi.b,
mtandi.b,36,mtandi.b,
mtandi.b,mtandi,mtandi.b,
mtandi.b,mtandi.b,mtandi.b,
mtenga,isunta,mtenga,
mufindi,ihowanza,mufindi,
muhesi,muhesi,muhesi,
muhuwesi,muhuwesi,mumuwesi,
mumbaka,166,mumbaka,
mumbaka,mumbaka,mumbaka,
mundemu,mundemu,mundemu,
muungano,muungano,muungano,
muze,muz3,muze,
muze,muze,muze,
muze1,muze,muze,
mwakidiga,lalago,mwakidiga,
mwakiloba,mwasamba,mwakiloba,
mwamalalala,mwamaplala,mwamapalala,
mwamapalal,mwamapalala,mwamapalala,
mwamapalala,mwamapalal,mwamapalala,
mwamapalala,mwamapalala,mwamapalala,
mwamapalala,mwapalala,mwamapalala,
mwamapalalal,mwamapalala,mwamapalala,
mwamaplala,mwamapalala,mwamapalala,
mwamashindike,mwamashindike,mwamashindike,
mwamigongwa,mwamigongwa,mwamigongwa,
mwampalala,mwamapalala,mwamapalala,
mwandete,lalago,mwandete,
mwangika,mwasamba,mwangika,
mwapalala,mwamapalala,mwamapalala,
mwasamba,chabutwa,mwasamba,
mwasamba,mwasamba,mwasamba-mwasamba,
mwassamba,mwasamba,mwasamba-mwasamba,
mwavala,mwavala,mwavala,
mwogozo,nangoo,mwongozo-nangoo,
mwongozo,nangoo,mwongozo-nangoo,
mzia,mzia,mziha,
mziha,mziha,mziha,
na.upanga,na.upanga,na.upanga,
nagaga,nagaga,nagaga,
nagaga,nalemanga,nagaga,
nagaga,namalenga,nagaga,
nakarara,makong.onda,nkarara,
namhanga,namhanga,namhanga,
namhanga,mbenja,namhanga,
namhanga,namhanga,namhanga,
namuhanga,mbeja,namhanga,
namuhanga,mbenja,namhanga,
namwawala,namwawala,namwawala,
nangwala,nangwala,nangwala,
nanjo88,nanjota,nanjota,
nanjota,nacnjota,nanjota,
nanjota,nanjota,nanjota,
nanjota,nanjots,nanjota,
nantamila,ntalamila,ntalamila,
ndagalu,kabali,ndagalu,
ndagalu,kabila,ndagalu,
ndagalu,kabo,ndagalu,
ndagalu,ndagalu,ndagalu,
ndomoni,ndomoni,ndomoni,
ngalaiwe,ngalaiwe,ngalaiwe,
njiwa,itete,njiwa.juu,
njiwa.jui,itete,njiwa.juu,
njiwa.juu,ite,njiwa.juu,
njiwa.juu,itete,njiwa.juu,
njiwa.juu,itte,njiwa.juu,
njwa.juu,itete,njiwa.juu,
nkhome,khome,nkhome,
nkhome,nhkome,nkhome,
nkhome,nhome,nkhome,
nkhome,nkho.e,nkhome,
nkhome,nkhome,nkhome,
nkongo,nkongo,nkongo,
nondwa,nondwa,nondwa,
ntalamil,ntalamila,ntalamila,
ntalamila,ntalamila,ntalamila,
ntalamila,ntamila,ntalamila,
ntalamila.i,ntalamila,ntalamila,
ntalamila8,ntalamila,ntalamila,
ntungwa,ntungwa,ntungwa,
ntungwa,mbao,ntungwa,
ntungwa,ntungwa,ntungwa,
ntungwe,mbao,ntungwa,
nyagala,mnyagala,minyagala,
nyalamila,ntalamila,ntalamila,
nyalikungu,nyalikungu,nyalikungu,
sagamaganga,sagamaganga,sagamaganga,
salamiti,salamiti,salamiti,
shinyanga,shinyanga,shinyanga,
shinyanga.mwenge,lalago,shinyanga,
sibwesa,sibwesa,sibwesa,
sintali,sintali,sintali,
somanda,somanda,somanda,
sulu,sulu,sulu,
sumaha,sumaha,sumaha,
talamila,ntalamila,ntalamila,
tanga,tanga,tanga,
tupendane,tupendane,tupendane,
upanga,nangaya,upanga,
upanga,upanga,upanga,
usevya,usevya,usevya,
usevya,usevya,usevya,
utengule.usangu,utengule,utengule.usangu,
utengule.usangu,utengule.usangu,utengule.usangu,
utenguleusangu,utenguleusangu,utengule.usangu,
wanging.ombe,wanging.ombe,wanging.ombe,
yanga,tanga,tanga,
zabazaba,zabazaba,zabazaba,
